TK_Nr;DZ_Nr;DZ_Name;Land_Nr;Land_Code;Str_Kl;Str_Nr;Str_Zus;Erf_Art;Fernziel_Ri1;Nahziel_Ri1;Hi_Ri1;Fernziel_Ri2;Nahziel_Ri2;Hi_Ri2;Anz_Fs_Q;Betriebs_km;vT_MobisSo;vT_W;vT_U;vT_S;DTV_Kfz_MobisSo_Q;DTV_Kfz_MobisSo_Ri1;DTV_Kfz_MobisSo_Ri2;DTV_Kfz_W_Q;DTV_Kfz_W_Ri1;DTV_Kfz_W_Ri2;DTV_Kfz_U_Q;DTV_Kfz_U_Ri1;DTV_Kfz_U_Ri2;DTV_Kfz_S_Q;DTV_Kfz_S_Ri1;DTV_Kfz_S_Ri2;Entw_Kfz_MobisSo_Q;Entw_Kfz_W_Q;Entw_Kfz_U_Q;Entw_Kfz_S_Q;DTV_SV_MobisSo_Q;DTV_SV_MobisSo_Ri1;DTV_SV_MobisSo_Ri2;DTV_SV_W_Q;DTV_SV_W_Ri1;DTV_SV_W_Ri2;DTV_SV_U_Q;DTV_SV_U_Ri1;DTV_SV_U_Ri2;DTV_SV_S_Q;DTV_SV_S_Ri1;DTV_SV_S_Ri2;Entw_SV_MobisSo_Q;Entw_SV_W_Q;Entw_SV_U_Q;Entw_SV_S_Q;pSV_MobisSo_Q;pSV_W_Q;pSV_U_Q;pSV_S_Q;fer;bSo;bFr;Mt;pMt;Mn;pMn;Md;pMd;Me;pMe;MSV30_Kfz_MobisSo_Q;MSV30_Kfz_W_Q;MSV30_Kfz_U_Q;MSV30_Kfz_S_Q;MSV30maxRi_Kfz_MobisSo;MSV30maxRi_Kfz_W;MSV30maxRi_Kfz_U;MSV30maxRi_Kfz_S;pMSV30maxRi_Kfz_MobisSo;pMSV30maxRi_Kfz_W;pMSV30maxRi_Kfz_U;pMSV30maxRi_Kfz_S;Ri_MSV30maxRi_Kfz_MobisSo;Ri_MSV30maxRi_Kfz_W;Ri_MSV30maxRi_Kfz_U;Ri_MSV30maxRi_Kfz_S;DL_Q;DL_Ri1;DL_Ri2;JG;WG_Ri1;WG_Ri2;TG_Mo_Ri1;TGMax1_Mo_Ri1;TGMax2_Mo_Ri1;TG_Mo_Ri2;TGMax1_Mo_Ri2;TGMax2_Mo_Ri2;TG_DiMiDo_Ri1;TGMax1_DiMiDo_Ri1;TGMax2_DiMiDo_Ri1;TG_DiMiDo_Ri2;TGMax1_DiMiDo_Ri2;TGMax2_DiMiDo_Ri2;TG_Fr_Ri1;TGMax1_Fr_Ri1;TGMax2_Fr_Ri1;TG_Fr_Ri2;TGMax1_Fr_Ri2;TGMax2_Fr_Ri2;TG_Sa_Ri1;TGMax1_Sa_Ri1;TGMax2_Sa_Ri1;TG_Sa_Ri2;TGMax1_Sa_Ri2;TGMax2_Sa_Ri2;TG_SoFei_Ri1;TGMax1_SoFei_Ri1;TGMax2_SoFei_Ri1;TG_SoFei_Ri2;TGMax1_SoFei_Ri2;TGMax2_SoFei_Ri2;pPLZ_MobisSo_Q;pLfw_MobisSo_Q;pMot_MobisSo_Q;pPmA_MobisSo_Q;pLoA_MobisSo_Q;pLzg_MobisSo_Q;pSat_MobisSo_Q;pBus_MobisSo_Q;pSon_MobisSo_Q;pPLZ_W_Q;pLfw_W_Q;pMot_W_Q;pPmA_W_Q;pLoA_W_Q;pLzg_W_Q;pSat_W_Q;pBus_W_Q;pSon_W_Q;pPLZ_U_Q;pLfw_U_Q;pMot_U_Q;pPmA_U_Q;pLoA_U_Q;pLzg_U_Q;pSat_U_Q;pBus_U_Q;pSon_U_Q;pPLZ_S_Q;pLfw_S_Q;pMot_S_Q;pPmA_S_Q;pLoA_S_Q;pLzg_S_Q;pSat_S_Q;pBus_S_Q;pSon_S_Q;Koor_UTM32_E;Koor_UTM32_N;DTV_Kfz_WU_MobisFr_Q;DTV_Kfz_WU_MobisFr_Ri1;DTV_Kfz_WU_MobisFr_Ri2;DTV_SV_WU_MobisFr_Q;DTV_SV_WU_MobisFr_Ri1;DTV_SV_WU_MobisFr_Ri2;DTV_Kfz_WU_Sa_Q;DTV_Kfz_WU_Sa_Ri1;DTV_Kfz_WU_Sa_Ri2;DTV_SV_WU_Sa_Q;DTV_SV_WU_Sa_Ri1;DTV_SV_WU_Sa_Ri2;MSV30_Kfz_MobisSo_Ri1;MSV30_Kfz_MobisSo_Ri2;MSV30_Kfz_W_Ri1;MSV30_Kfz_W_Ri2;MSV30_Kfz_U_Ri1;MSV30_Kfz_U_Ri2;MSV30_Kfz_S_Ri1;MSV30_Kfz_S_Ri2;bSV30_MobisSo_Ri1;bSV30_MobisSo_Ri2;bSV30_W_Ri1;bSV30_W_Ri2;bSV30_U_Ri1;bSV30_U_Ri2;bSV30_S_Ri1;bSV30_S_Ri2;DTV_Kfz_W_MobisFr_Q;DTV_Kfz_W_MobisFr_Ri1;DTV_Kfz_W_MobisFr_Ri2;DTV_SV_W_MobisFr_Q;DTV_SV_W_MobisFr_Ri1;DTV_SV_W_MobisFr_Ri2;pSV_W_MobisFr_Q;pSV_W_MobisFr_Ri1;pSV_W_MobisFr_Ri2;Koor_WGS84_N;Koor_WGS84_E;MSV50_Kfz_MobisSo_Ri1;MSV50_Kfz_MobisSo_Ri2;pMSV50_Kfz_MobisSo_Ri1;pMSV50_Kfz_MobisSo_Ri2;bSV50_MobisSo_Ri1;bSV50_MobisSo_Ri2;bLkwK50_MobisSo_Ri1;bLkwK50_MobisSo_Ri2;pMSV50_Kfz_W_MobisFr_Ri1;pMSV50_Kfz_W_MobisFr_Ri2;DTV_Kfz_NZB_DiMiDo_Ri1;DTV_Kfz_NZB_DiMiDo_Ri2;bSo_Ri1;bSo_Ri2;bMo_Ri1;bMo_Ri2;bFr_Ri1;bFr_Ri2;bSa_Ri1;bSa_Ri2;Q_P_D;Q_L1_D;Q_L2_D;Q_K_D;Q_P_E;Q_L1_E;Q_L2_E;Q_K_E;Q_P_N;Q_L1_N;Q_L2_N;Q_K_N;Geo_Sequ;Abschnitt_Ast;Station;Ausrichtung;Maut_SID_Ri1;Maut_SID_Ri2;Anz_Fs_Ri1;Anz_Fs_Ri2;DTA_SV_Ri1;fA_SV_Ri1;qBm_SV_Ri1;B_anno_SV_Ri1;DTA_SV_Ri2;fA_SV_Ri2;qBm_SV_Ri2;B_anno_SV_Ri2;DTV_Bus_Ri1;DTV_LoA_Ri1;DTV_Lzg_Ri1;DTV_Sat_Ri1;DTV_Bus_Ri2;DTV_LoA_Ri2;DTV_Lzg_Ri2;DTV_Sat_Ri2;Anmerkungen;
4908;5675;AK Leverkusen (O);5;NW;A;1;;8+1;Dortmund;AS Burscheid;N;Köln;AK Kreuz Leverkusen (A3);S;6;402,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;364.845;5.658.635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,06330659;7,07118583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;260;4908018A4908083A;5,101;Ri1_ist_NachNK;2.374;907;3;3;;;;;;;;;;;;;;;;;Datenprobleme in 2022;
4908;5035;AK Leverkusen (W);5;NW;A;1;;8+1;Dortmund;AK Kreuz Leverkusen (A3);N;Köln;AK Kreuz Leverkusen-West (A59);S;6;403,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;358.801;5.655.933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,03757536;6,98603730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;250;4907071A4908018A;1,613;Ri1_ist_NachNK;3.829;2.388;3;3;;;;;;;;;;;;;;;;;Datenprobleme in 2022;
4111;5121;Ascheberg;5;NW;A;1;;8+1;Münster;AS Münster-Hiltrup;N;Dortmund;AS Ascheberg;S;4;288,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;403.168;5.743.440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,83337406;7,59466706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;340;4211021O4111030O;5,015;Ri1_ist_NachNK;7.483;7.482;2;2;;;;;;;;;;;;;;;;;Datenprobleme in 2022;
5206;5703;Bliesheim;5;NW;A;1;;8+1;Köln;AS Erftstadt;N;Saarbrücken;AK Kreuz Bliesheim (A61/A553);S;6;439,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345.057;5.629.397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,79557434;6,80140997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;190;5206045A5106031A;3,093;Ri1_ist_NachNK;3.437;1.989;3;3;;;;;;;;;;;;;;;;;Baustelle in 2022;
5206;5060;Euskirchen/Bliesheim;5;NW;A;1;;8+1;Köln;AK Kreuz Bliesheim (A61/A553);N;Saarbrücken;AS Euskirchen (L264);S;4;443,1;318;206;71;41;47.673;23.349;24.324;49.249;23.806;25.443;48.407;23.361;25.046;40.866;21.627;19.239;+11,3;+11,7;+7,2;+15,7;5.424;2.697;2.727;6.495;3.215;3.281;5.720;2.806;2.914;1.049;625;424;+3,2;+3,4;+1,8;+6,5;11,4;13,2;11,8;2,6;0,98;0,88;1,13;2.714;10,5;532;20,7;3.014;11,2;1.812;6,6;;;;;;;;;;;;;;;;;;D;E;B;D;B;B;8;;E;17;;B;8;;E;17;;B;8;;F;16;;D;14;;C;11;15;G;18;;E;13;;86,9;10,2;0,5;1,7;2,7;8,6;7,3;0,1;0,0;85,2;10,9;0,4;1,6;3,0;10,0;8,5;0,1;0,0;86,2;10,3;0,6;1,9;2,7;9,0;7,6;0,1;0,0;95,7;6,9;1,2;1,7;0,8;1,7;1,5;0,1;0,0;346.069;5.625.358;50.317;24.306;26.010;7.138;3.516;3.622;42.846;20.732;22.113;2.248;1.156;1.092;;;;;;;;;;;;;;;;;50.457;24.376;26.081;7.256;3.583;3.673;14,4;14,7;14,1;50,75955211;6,81745222;2.471;2.789;10,6;11,5;9,2;7,0;7,0;5,4;10,1;10,7;24.081;25.742;0,98;0,78;1,00;0,99;1,09;1,16;0,88;0,88;2.658;90;248;18;1.683;25;95;9;421;16;94;1;170;5206054O5206045X;0,910;Ri1_ist_NachNK;6.365;6.364;2;2;11.251;4,17;0,32;1.317.443;11.347;4,16;0,32;1.328.566;22;622;2.052;1.721;25;641;2.060;1.752;;
3812;5170;Flugh. Münster/Osnabrück;5;NW;A;1;;8+1;Bremen;AS Ladbergen;N;Münster;AS Flughafen Münster/Osnabrück;S;4;251,5;255;159;65;31;58.661;29.437;29.223;57.573;29.069;28.504;62.161;31.250;30.911;58.366;28.555;29.810;+3,3;+3,4;-0,2;+7,9;11.072;5.534;5.538;13.278;6.637;6.641;11.611;5.810;5.801;2.152;1.066;1.086;-5,7;-5,6;-5,9;-6,0;18,9;23,1;18,7;3,7;1,08;1,02;1,16;3.264;16,3;805;40,1;3.542;16,7;2.429;14,4;;;;;;;;;;;;;;;;;;D;D;E;D;D;C;;;C;;;C;;;C;;;E;15;;E;17;;B;12;;D;14;;B;12;;C;15;;77,9;7,5;0,2;1,8;2,9;15,6;12,5;0,4;1,4;73,9;8,1;0,1;1,6;3,3;19,3;15,5;0,4;1,4;77,9;7,7;0,2;2,0;2,9;15,4;12,3;0,4;1,4;92,7;5,1;0,3;2,0;1,2;2,2;1,8;0,3;1,5;411.699;5.775.383;59.296;29.848;29.448;14.595;7.281;7.314;55.927;28.482;27.445;4.460;2.309;2.151;;;;;;;;;;;;;;;;;58.409;29.457;28.953;14.849;7.407;7.442;25,4;25,1;25,7;52,12191834;7,71022042;2.986;3.001;10,1;10,3;3,3;2,7;2,0;0,8;10,1;10,4;29.135;28.530;0,99;1,05;0,97;0,99;1,19;1,13;0,95;0,94;2.943;118;473;8;2.075;60;290;4;482;33;289;0;360;3812026O3812015O;2,500;Ri1_ist_NachNK;6.251;6.250;2;2;24.090;4,35;0,33;2.904.284;23.984;4,33;0,33;2.894.680;92;841;4.601;3.701;131;855;4.552;3.646;;
5206;5083;Frauenthal;5;NW;A;1;;8+1;Köln;AS Erftstadt;N;Saarbrücken;AK Kreuz Bliesheim (A61/A553);S;6;441,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345.714;5.627.771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,78114245;6,81140772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;5206045A5106031A;3,044;Ri1_ist_NachNK;3.437;1.989;3;3;;;;;;;;;;;;;;;;;Hochwasserschaden in 2022;
4011;5171;Gievenbeck;5;NW;A;1;;8+1;Bremen;AK Kreuz Münster-Nord;N;Dortmund;AK Kreuz Münster-Süd (A43);S;6;271,4;147;85;46;16;82.117;41.278;40.839;82.791;41.813;40.978;86.212;43.356;42.856;74.498;36.688;37.811;+2,4;+2,6;-1,8;+8,2;13.901;6.973;6.927;16.747;8.400;8.347;14.555;7.313;7.242;2.446;1.218;1.227;-7,3;-7,1;-7,8;-9,7;16,9;20,2;16,9;3,3;1,04;0,90;1,13;4.595;14,8;1.074;35,0;5.043;15,3;3.254;12,7;;;;;;;;;;;;;;;;;;D;D;D;B;D;D;8;17;B;8;;D;8;17;D;8;17;C;;;E;16;;B;12;;D;14;;B;14;;C;15;;78,9;8,0;0,2;1,8;2,8;13,8;11,0;0,3;2,3;75,7;8,6;0,2;1,7;3,2;16,7;13,3;0,3;2,4;78,7;8,1;0,3;2,1;2,9;13,7;10,9;0,3;2,3;92,4;5,2;0,4;2,0;1,1;2,0;1,7;0,2;2,3;400.567;5.759.862;85.604;43.119;42.485;18.457;9.233;9.224;74.159;37.738;36.421;5.256;2.774;2.483;;;;;;;;;;;;;;;;;84.938;42.822;42.116;18.797;9.402;9.395;22,1;22,0;22,3;51,98052549;7,55219766;3.896;3.890;9,4;9,5;10,5;7,9;7,8;5,5;9,1;9,2;42.818;41.932;0,88;0,93;0,98;0,99;1,15;1,11;0,88;0,88;4.261;161;609;12;2.833;72;343;7;697;43;333;1;350;4011006O4011079O;1,000;Ri1_ist_NachNK;1.305;4.618;3;3;30.063;4,31;0,33;3.234.059;29.861;4,31;0,33;3.227.981;99;1.179;5.695;4.512;146;1.136;5.645;4.502;;
4510;5124;Hagen-Vorhalle;5;NW;A;1;;8+1;Dortmund;AS Hagen-Nord;N;Köln;AS Hagen-West;S;6;345,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;393.056;5.695.540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,40099313;7,46259063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;290;4610021A4510011A;2,538;Ri1_ist_NachNK;932;4.213;3;3;;;;;;;;;;;;;;;;;Datenprobleme in 2022;
4511;5101;Hengsen;5;NW;A;1;;8+1;Münster;AK Kreuz Dortmund/Unna (A44);N;Dortmund;AS Schwerte;S;6;73,8;212;127;50;35;99.256;50.112;49.144;99.057;50.332;48.725;102.151;52.147;50.004;96.393;46.753;49.639;+2,3;+2,8;-2,7;+7,9;17.039;8.660;8.379;20.619;10.498;10.122;18.030;9.161;8.869;2.422;1.166;1.257;-6,7;-6,8;-6,2;-10,2;17,2;20,8;17,7;2,5;1,03;0,98;1,12;5.479;14,6;1.450;36,4;5.900;15,0;4.215;12,9;;;;;;;;;;;;;;;;;;D;D;D;D;D;C;;;C;;;C;;;C;;;C;;;C;;;B;12;;D;14;;C;13;;D;18;;80,3;8,3;0,2;1,4;2,0;14,9;11,9;0,2;1,2;76,7;9,1;0,2;1,3;2,4;18,2;14,4;0,3;1,2;79,6;8,4;0,3;1,6;2,0;15,4;12,2;0,2;1,2;94,8;5,2;0,4;1,6;0,5;1,9;1,5;0,2;1,0;404.599;5.704.895;101.118;51.353;49.765;22.676;11.533;11.143;93.592;48.040;45.552;6.867;3.525;3.342;;;;;;;;;;;;;;;;;100.424;50.956;49.468;23.044;11.725;11.319;22,9;23,0;22,9;51,48714712;7,62595482;4.454;4.609;8,9;9,4;2,3;1,0;1,5;0,5;8,7;9,3;50.222;49.517;0,93;1,03;0,99;1,04;1,13;1,11;0,94;0,96;4.996;133;754;16;3.661;55;489;9;921;51;476;2;310;4511033A4411094A;5,863;Ri1_ist_NachNK;1.270;4.548;3;3;38.540;4,45;0,33;4.226.096;37.276;4,45;0,33;4.090.549;122;1.003;7.534;5.970;124;976;7.279;5.810;;
